date,proponent,senate_bill_no,short_title,long_title,scope,status,subject,primary_committee,secondary_committee,links
"february 4, 2019","['poe, grace l', ' villar, cynthia a.']",2203,organic farming and other sustainable agriculture,an act amending republic act no. 10068 or the organic agriculture act of 2010,National,"pending second reading, special order (2/6/2019)",['Organic Agriculture/Organic Farming'],['Agriculture and Food'],,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2203
"january 31, 2019","['ejercito, joseph victor g', ' gordon, richard j', ' de lima, leila m.']",2200,emergency volunteer protection act of 2019,an act encouraging volunteerism during emergencies by protecting volunteers from liability,National,"pending second reading, ordinary business (2/4/2019)",['Volunteers'],"['Social Justice, Welfare and Rural Development']","['Justice and Human Rights', 'Local Government', 'Ways and Means', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2200
"january 31, 2019","['de lima, leila m.']",2199,social welfare and development agencies act,"an act strengthening the regulation of social welfare and development agencies, and appropriating funds therefor",National,"pending second reading, ordinary business (2/4/2019)",['Social Welfare and Development (SWD)'],"['Social Justice, Welfare and Rural Development']","['Civil Service, Government Reorganization and Professional Regulation', 'Ways and Means', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2199
"january 30, 2019","['sotto iii, vicente c', ' drilon, franklin m', ' de lima, leila m', ' gatchalian, sherwin t', ' gordon, richard j', ' hontiveros, risa, legarda, loren b.']",2198,youth social welfare programs/reformation of children in conflict with the law,"an act strengthening the youth social welfare programs and extending the scope of reformation and rehabilitation of children in conflict with the law, amending for the purpose republic act no. 9344, as amended, otherwise known as the 'juvenile justice and welfare act of 2006', and other related laws, appropriating funds therefor, and for other purposes",National,"pending second reading, special order (2/4/2019)","['Juvenile Justice and Welfare Act (R.A.No. 9344)', 'Children in Conflict with the Law', 'Criminal Responsibility Age', 'Children/Child Care', 'Department of Social Welfare and Development (DSWD)']",['Justice and Human Rights'],"['Women, Children, Family Relations and Gender Equality', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2198
"january 30, 2019","['pacquiao, emmanuel ""manny"" d.']",2197,"amending sections 141, 142 and 143  (sin tax, nirc)","an act amending sections 141, 142 and 143 of republic act no. 8424, as amended, otherwise known as the national internal revenue code of 1997",National,pending in the committee (1/30/2019),"['National Internal Revenue Code (NIRC)', 'Taxes (Sin Tax)']",['Ways and Means'],,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2197
"january 30, 2019","['sotto iii, vicente c.']",2196,fire code of the philippines of 2018,an act amending certain provisions of republic act 9514 and for other purposes,National,pending in the committee (1/30/2019),['Fire Code of the Philippines'],['Public Order and Dangerous Drugs'],['Local Government'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2196
"january 30, 2019","['trillanes, antonio ""sonny"" f', ' angara, juan edgardo ""sonny"" m', ' ejercito, joseph victor g', ' gordon, richard j.']",2195,community service act,"an act authorizing the court to require community service in lieu of imprisonment for the penalties of arresto menor and arresto mayor, amending for the purpose chapter 5, title 3, book i of act no. 3815, as amended, otherwise known as the revised penal code",National,"pending second reading, special order (1/30/2019)","['Community Work/Community Service', 'Revised Penal Code (R.A.No. 3815)']",['Justice and Human Rights'],,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2195
"january 30, 2019","['de lima, leila m.']",2194,protecting consumers and users against forced e-billing,"an act protecting consumers and users against forced e-billing, adding for this purpose a new provision and amending certain provisions of republic act no. 7394, otherwise known as the consumer act of the philippines, and providing penalties for violations thereof",National,pending in the committee (1/30/2019),"['E-Billing', 'Consumer Protection', 'Consumer Act (R.A.No. 7394)']","['Trade, Commerce and Entrepreneurship']",,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2194
"january 29, 2019","['pimentel, aquilino koko iii l.']",2193,exempting drugs and medicines prescribed for mental health conditions from value-added tax,"an act exempting drugs and medicines prescribed for mental health conditions from value-added tax, amending for the purpose section 109 of the national internal revenue code of 1997, as amended",National,pending in the committee (1/30/2019),"['Medicines/Drugs', 'Mental Health', 'Taxes (Value-Added Tax / Vat)', 'National Internal Revenue Code (NIRC)']",['Ways and Means'],,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2193
"january 29, 2019","['pimentel, aquilino koko iii l.']",2192,protecting children from travelling sex offenders,an act protecting children from travelling sex offenders and for other purposes,National,pending in the committee (1/30/2019),"['Children/Child Care', 'Sex Offenders']","['Women, Children, Family Relations and Gender Equality']","['Justice and Human Rights', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2192
"january 29, 2019","['pimentel, aquilino koko iii l.']",2191,tobacco plain packaging act,an act requiring the use of plain packaging for all tobacco products,National,pending in the committee (1/30/2019),"['Tobacco Products/Tobacco Industry', 'Packaging (Bio-Degradable Materials)']","['Trade, Commerce and Entrepreneurship']",['Health and Demography                             '],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2191
"january 29, 2019","['pimentel, aquilino koko iii l.']",2190,amending section 285 of r a. no. 7160 (the local government code of 1991),"an act amending section 285 of republic act no. 7160, otherwise known as the local government code of 1991, to allow barangays created by local government units that have existed for at least ten (10) years to receive their just share in the internal revenue allotment",National,pending in the committee (1/30/2019),"['Barangays', 'Internal Revenue Allotment (Local Government Units)', 'Local Government Code (R.A.No. 7160)', 'Local Government Units (LGUS)']",['Local Government'],"['Ways and Means', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2190
"january 29, 2019","['pimentel, aquilino koko iii l.']",2189,amending penal and administrative provisions of r.a. 9184 (the government procurement reform act),"an act amending the penal and administrative provisions of republic act no. 9184, otherwise known as ‘the government procurement reform act,’ and for other purposes",National,pending in the committee (1/30/2019),['Government Procurement'],['Finance'],,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2189
"january 29, 2019","['pimentel, aquilino koko iii l', ' ejercito, joseph victor g.']",2188,"mariano marcos memorial hospital (batac city, ilocos norte)","an act increasing the bed capacity of the mariano marcos memorial hospital and medical center (mmmh&mc), batac city, ilocos norte from two hundred (200 ) beds to seven hundred (700 ) beds, upgrading its services, facilities, and professional",Local,approved on third reading by the senate (2/6/2019),"['Hospitals, Increase Bed Capacity']",['Health and Demography'],['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2188
"january 29, 2019","['zubiri, juan miguel f', ' ejercito, joseph victor g.']",2187,san lorenzo ruiz women's hospital (malabon city),"an act converting the san lorenzo ruiz women's hospital in malabon city, metro manila into a general hospital to be known as the san lorenzo ruiz general hospital, increasing its bed capacity from ten (10) to two hundred (200 ) beds and appropriating funds therefor",Local,approved on third reading by the senate (2/6/2019),"['Hospitals, Conversion']",['Health and Demography'],['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2187
"january 29, 2019","['ejercito, joseph victor g', ' villanueva, joel, binay, maria lourdes nancy s', ' hontiveros, risa']",2186,mandatory reporting of notifiable diseases and health events of public health concern act,"an act providing policies and prescribing procedures on surveillance and response to notifiable diseases, epidemics, and health events of public health concern, and appropriating funds therefor, repealing for the purpose act no. 3573, otherwise known as the ""law on reporting of communicable diseases""",National,approved on third reading by the senate (2/4/2019),"['Communicable Diseases', 'Department of Health (DOH)']",['Health and Demography'],['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2186
"january 28, 2019","['ejercito, joseph victor g.']",2185,civil service eligibility to sangguniang kabataan officials,"an act granting the appropriate civil service eligibility to sangguniang kabataan officials, amending for the purpose republic act no. 10742 or the sangguniang kabataan reform act of 2015",National,pending in the committee (1/29/2019),"['Civil Service Eligibility', 'Sangguniang Kabataan (SK)']",['Local Government'],"['Civil Service, Government Reorganization and Professional Regulation']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2185
"january 28, 2019","['gatchalian, sherwin t.']",2184,community-based monitoring system act,"an act institutionalizing a community-based monitoring system, appropriating funds therefor, and for other purposes",National,pending in the committee (1/29/2019),['Community Based Monitoring System'],"['Social Justice, Welfare and Rural Development']","['Local Government', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2184
"january 28, 2019","['zubiri, juan miguel f.']",2183,creating two (2) additional branches of the regional trial court,"an act creating two (2) additional branches of the regional trial court in the ninth judicial region to be stationed in the municipality of liloy, province of zamboanga del norte and appropriating funds therefor, amending for the purpose section 14(j) of batas pambansa blg. 129, otherwise known as ‘the judiciary reorganization act of 1980’, as amended",National,consolidated/substituted in the committee report (2/6/2019),"['Courts (Rtc/Mtc, Creation)', 'Judiciary Reorganization Act (Batas Pambansa Blg. 129)']",['Justice and Human Rights'],['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2183
"january 28, 2019","['zubiri, juan miguel f.']",2182,philippine rubber industry development act of 21019,"an act to develop the rubber industry, establishing for the purpose the philippine rubber industry development board, defining its powers and functions and appropriating funds therefor",National,pending in the committee (1/28/2019),['Rubber Industry'],['Agriculture and Food'],['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2182
"january 28, 2019","['zubiri, juan miguel f.']",2181,making the position of a cooperatives officer mandatory,"an act making the position of a cooperatives officer mandatory in the municipal, city and provincial levels, amending for the purpose republic act no. 7160, otherwise known as the ‘local government code of 1991’",National,pending in the committee (1/28/2019),"['Cooperatives Officer', 'Local Government Code (R.A.No. 7160)']",['Local Government'],,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2181
"january 28, 2019","['ejercito, joseph victor g.']",2180,public utility motorcycles act of 2019,"an act allowing the use of motorcycles as public utility vehicles, amending for the purpose republic act no. 4136 or the land transportation and traffic code",National,pending in the committee (1/28/2019),"['Motorcycle', 'Public Utility Vehicles', 'Land Transportation and Traffic Code (R.A.No. 4136)', 'Transportation']",['Public Services'],,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2180
"january 28, 2019","['ejercito, joseph victor g.']",2179,increasing the bed capacity of jose b. lingad memorial general hospital,"an act increasing the bed capacity of jose b. lingad memorial general hospital in san fernando, pampanga from five hundred (500) to one thousand (1000), upgrading its services and facilities and professional health care, authorizing the increase of its medical personnel and appropriating funds therefor",Local,pending in the committee (1/28/2019),"['Hospitals, Increase Bed Capacity']",['Rules'],,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2179
"january 28, 2019","['ejercito, joseph victor g.']",2178,siargao island medical center act of 2019,"an act converting the siargao district hospital in the province of surigao del norte into a level 3 general hospital to be known as the siargao island medical center, and appropriating funds therefor",Local,pending in the committee (1/28/2019),"['Hospitals, Conversion']",['Health and Demography'],"['Ways and Means', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2178
"january 24, 2019","['gatchalian, sherwin t.']",2177,increasing the excise tax on tobacco products,"an act increasing the excise tax on tobacco products and amending for the purpose section 145 of republic act no. 8424, otherwise known as the 'tax reform act of 1997', as amended by republic act no. 9334 and republic act no. 10351, and for other purposes.",National,pending in the committee (1/28/2019),"['Tobacco Products/Tobacco Industry', 'Taxes (Excise Tax)', 'Tax Reform Act']",['Ways and Means'],,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2177
"january 23, 2019","['sotto iii, vicente c', ' ejercito, joseph victor g', ' aquino iv, paolo benigno ""bam""']",2176,comprehensive atomic regulation act,"an act providing for comprehensive atomic regulation, creating for the purpose, the philippine atomic regulatory commission, and appropriating funds therefor",National,"pending second reading, special order (2/6/2019)","['Nuclear', 'Philippine Atomic Regulatory Commission', 'Philippine Nuclear Regulatory Commission']",['Science and Technology'],"['Civil Service, Government Reorganization and Professional Regulation', 'Ways and Means', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2176
"january 23, 2019","['angara, juan edgardo ""sonny"" m', ' poe, grace l', ' villanueva, joel, ejercito, joseph victor g', ' de lima, leila m', ' legarda, loren b.']",2175,magna carta for workers in the informal economy,"an act providing for a magna carta for workers, enterprises and organizations in the informal economy and providing mechanisms for recognition, integration, and transition to the formal economy",National,"pending second reading, special order (1/28/2019)",['Magna Carta of Workers in Informal Economy'],"['Labor, Employment and Human Resources Development']","['Social Justice, Welfare and Rural Development', 'Ways and Means', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2175
"january 23, 2019","['binay, maria lourdes nancy s.']",2174,safe public indoor play area act,an act establishing safety and cleanliness standards for public indoor play areas,National,pending in the committee (1/28/2019),['Safe Public Indoor Play Area'],['Health and Demography'],"['Women, Children, Family Relations and Gender Equality']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2174
"january 23, 2019","['recto, ralph g.']",2173,use of motorcycles as public utility vehicles,"an act allowing the use of motorcycles as public utility vehicles, amending for the purpose republic act no. 4136, otherwise known as the ‘land transportation and traffic code",National,pending in the committee (1/28/2019),"['Motorcycle', 'Land Transportation and Traffic Code (R.A.No. 4136)', 'Public Utility Vehicles', 'Transportation']",['Public Services'],,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2173
"january 23, 2019","['binay, maria lourdes nancy s', ' zubiri, juan miguel f', ' de lima, leila m', ' angara, juan edgardo ""sonny"" m', ' legarda, loren b.']",2172,community-based monitoring system act,an act establishing a community-based monitoring system and appropriating funds therefor,National,passed by both houses (2/7/2019),['Community Based Monitoring System'],"['Social Justice, Welfare and Rural Development']","['Local Government', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2172
"january 23, 2019","['gatchalian, sherwin t', ' pimentel, aquilino koko iii l.']",2171,philippine warehouse receipts act of 2019,"an act strengthening and modernizing the warehouse receipts law of the philippines in  order to provide a legal framework in the philippines that shall facilitate trade, commerce, and other related purposes",National,"pending second reading, special order (1/28/2019)",['Warehouse Receipts'],"['Trade, Commerce and Entrepreneurship']",['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2171
"january 23, 2019","['binay, maria lourdes nancy s', ' pimentel, aquilino koko iii l.']",2170,bpa in child care articles prohibition act,"an act prohibiting the use of bpa in baby food packaging, containers, and other child care articles, providing for its replacement with safer alternatives",National,"pending second reading, ordinary business (1/28/2019)","['Bisphenol A', 'Baby Food Products', 'Infant/Toddler Product']","['Trade, Commerce and Entrepreneurship']",['Health and Demography                             '],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2170
"january 22, 2019","['recto, ralph g', ' gordon, richard j', ' gatchalian, sherwin t', ' legarda, loren b.']",2169,greater baguio-benguet development authority act of 2019,"an act creating the greater baguio-benguet development authority, defining its powers and functions, providing funds therefor",National,"pending second reading, special order (1/22/2019)",['Greater Baguio-Benguet Development Authority'],['Government Corporations and Public Enterprises'],"['Economic Affairs', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2169
"january 22, 2019","['zubiri, juan miguel f', ' poe, grace l', ' angara, juan edgardo ""sonny"" m', ' legarda, loren b', ' gordon, richard j', ' ejercito, joseph victor g.']",2168,charter of the davao international airport authority,"an act creating the davao international airport authority, transferring existing assets of francisco bangoy international airport to the authority, vesting the authority with power to administer and operate the francisco bangoy international airport and appropriating funds therefor",National,"approved on  second reading, with amendments (2/6/2019)","['Davao International Airport Authority', 'Airport']",['Government Corporations and Public Enterprises'],"['Public Services', 'Ways and Means', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2168
