,dates,titles,descriptions,proponents,links
0,2019-02-04 00:00:00,SBN-2203: Organic Farming and Other Sustainable Agriculture,an act amending republic act no. 10068 or the organic agriculture act of 2010,"['poe, grace l', ' villar, cynthia a.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2203
1,2019-01-31 00:00:00,SBN-2200: Emergency Volunteer Protection Act of 2019,an act encouraging volunteerism during emergencies by protecting volunteers from liability,"['ejercito, joseph victor g', ' gordon, richard j', ' de lima, leila m.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2200
2,2019-01-31 00:00:00,SBN-2199: Social Welfare and Development Agencies Act,"an act strengthening the regulation of social welfare and development agencies, and appropriating funds therefor","['de lima, leila m.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2199
3,2019-01-30 00:00:00,SBN-2198: Youth Social Welfare Programs/Reformation of Children in Conflict with the Law,,"['sotto iii, vicente c', ' drilon, franklin m', ' de lima, leila m', ' gatchalian, sherwin t', ' gordon, richard j', ' hontiveros, risa, legarda, loren b.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2198
4,2019-01-30 00:00:00,"SBN-2197: Amending Sections 141, 142 and 143  (Sin Tax, Nirc)","an act amending sections 141, 142 and 143 of republic act no. 8424, as amended, otherwise known as the national internal revenue code of 1997","['pacquiao, emmanuel ""manny"" d.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2197
5,2019-01-30 00:00:00,SBN-2196: Fire Code of the Philippines of 2018,an act amending certain provisions of republic act 9514 and for other purposes,"['sotto iii, vicente c.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2196
6,2019-01-30 00:00:00,SBN-2195: Community Service Act,,"['trillanes, antonio ""sonny"" f', ' angara, juan edgardo ""sonny"" m', ' ejercito, joseph victor g', ' gordon, richard j.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2195
7,2019-01-30 00:00:00,SBN-2194: Protecting Consumers and Users Against Forced E-Billing,,"['de lima, leila m.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2194
8,2019-01-29 00:00:00,SBN-2193: Exempting Drugs and Medicines Prescribed for Mental Health Conditions From Value-Added Tax,"an act exempting drugs and medicines prescribed for mental health conditions from value-added tax, amending for the purpose section 109 of the national internal revenue code of 1997, as amended","['pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2193
9,2019-01-29 00:00:00,SBN-2192: Protecting Children From Travelling Sex Offenders,an act protecting children from travelling sex offenders and for other purposes,"['pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2192
